"copper","copper"
"fe","fe"
"iron","iron"
"pb","pb"
"lead","lead"
"heavy","heavy"
"li","li"
"lithium","lithium"
"alkali","alkali"
"mg","mg"
"magnesium","magnesium"
"mn","mn"
"manganese","manganese"
"ineral","ineral"
"hg","hg"
"mercury","mercury"
"mo","mo"
"molybdenum","molybdenum"
"ni","ni"
"nickel","nickel"
"p","p"
"phophorus","phophorus"
"nonmetal","nonmetal"
"potassium","potassium"
"se","se"
"selenium","selenium"
"na","na"
"sodium","sodium"
"zn","zn"
"zinc","zinc"
"available","available"
"sugar","sugar"
"starch","starch"
"digest","digest"
"absorb","absorb"
"glucogenic","glucogenic"
"amylum","amylum"
"polysaccharide","polysaccharide"
"polymeric","polymeric"
"frus","frus"
"fructose","fructose"
"simple","simple"
"fruit","fruit"
"levulose","levulose"
"fructofuranose","fructofuranose"
"arabino","arabino"
"hexulose","hexulose"
"ketonic","ketonic"
"monosaccharide","monosaccharide"
"glus","glus"
"glucose","glucose"
"blood","blood"
"dextrose","dextrose"
"corn","corn"
"grape","grape"
"powder","powder"
"sucs","sucs"
"sucrose","sucrose"
"common","common"
"table","table"
"saccharose","saccharose"
"disaccharide","disaccharide"
"mals","mals"
"maltose","maltose"
"maltobiose","maltobiose"
"malt","malt"
"fsugar","fsugar"
"free","free"
"sugars","sugars"
"added","added"
"natural","natural"
"lactose","lactose"
"content","content"
"milk","milk"
"f4d0","f4d0"
"butyric","butyric"
"c4","c4"
"0","0"
"bta","bta"
"butanoic","butanoic"
"propanecarboxylic","propanecarboxylic"
"carboxylic","carboxylic"
"fatty","fatty"
"unpleasant","unpleasant"
"vomit","vomit"
"body","body"
"odor","odor"
"f6d0","f6d0"
"caproic","caproic"
"c6","c6"
"hexanoic","hexanoic"
"medium","medium"
"chain","chain"
"oily","oily"
"goat","goat"
"like","like"
"f8d0","f8d0"
"caprylic","caprylic"
"c8","c8"
"octanoic","octanoic"
"faint","faint"
"fruity","fruity"
"irritating","irritating"
"f10d0","f10d0"
"capric","capric"
"c10","c10"
"decanoic","decanoic"
"crystals","crystals"
"strong","strong"
"rancid","rancid"
"and","and"
"f11d0","f11d0"
"undecanoic","undecanoic"
"c11","c11"
"undecylic","undecylic"
"colourless","colourless"
"distinctive","distinctive"
"f12d0","f12d0"
"lauric","lauric"
"c12","c12"
"dodecanoic","dodecanoic"
"dodecylic","dodecylic"
"dodecoic","dodecoic"
"laurostearic","laurostearic"
"vulvic","vulvic"
"undecanecarboxylic","undecanecarboxylic"
"duodecylic","duodecylic"
"bay","bay"
"soap","soap"
"f14d0","f14d0"
"myristic","myristic"
"c14","c14"
"tetradecanoic","tetradecanoic"
"f15d0","f15d0"
"pentadecanoic","pentadecanoic"
"c15","c15"
"pentadecylic","pentadecylic"
"f16d0","f16d0"
"palmitic","palmitic"
"c16","c16"
"hexadecanoic","hexadecanoic"
"f18d0","f18d0"
"stearic","stearic"
"c18","c18"
"octadecanoic","octadecanoic"
"pungent","pungent"
"f20d0","f20d0"
"arachidic","arachidic"
"c20","c20"
"eicosanoic","eicosanoic"
"icosanoic","icosanoic"
"arachic","arachic"
"f22d0","f22d0"
"behenic","behenic"
"c22","c22"
"docosanoic","docosanoic"
"docosanoate","docosanoate"
"hydrofol","hydrofol"
"f24d0","f24d0"
"lignoceric","lignoceric"
"c24","c24"
"tetracosanoic","tetracosanoic"
"f14d1cn5","f14d1cn5"
"myristoleic","myristoleic"
"1","1"
"tetradecenoic","tetradecenoic"
"myristolenic","myristolenic"
"oleomyristic","oleomyristic"
"omega","omega"
"5","5"
"monounsaturated","monounsaturated"
"mono","mono"
"f16d1cn7","f16d1cn7"
"palmitoleic","palmitoleic"
"hexadec","hexadec"
"enoic","enoic"
"hexadecenoic","hexadecenoic"
"7","7"
"f18d1cn9","f18d1cn9"
"oleic","oleic"
"1n9","1n9"
"octadec","octadec"
"octadecenoic","octadecenoic"
"9","9"
"f18d1tn9","f18d1tn9"
"elaidic","elaidic"
"1n9t","1n9t"
"trans","trans"
"waxy","waxy"
"f20d1cn9","f20d1cn9"
"eicosenoic","eicosenoic"
"gondoic","gondoic"
"eicos","eicos"
"icosenoic","icosenoic"
"icos","icos"
"f22d1cn9","f22d1cn9"
"erucic","erucic"
"docos","docos"
"f24d1cn9","f24d1cn9"
"nervonic","nervonic"
"tetracos","tetracos"
"tetracosenoic","tetracosenoic"
"f18d2cn6","f18d2cn6"
"linoleic","linoleic"
"2n6","2n6"
"octadeca","octadeca"
"dienoic","dienoic"
"octadecadienoic","octadecadienoic"
"6","6"
"polyunsaturated","polyunsaturated"
"poly","poly"
"f20d2n6","f20d2n6"
"eicosadienoic","eicosadienoic"
"2","2"
"eicosa","eicosa"
"icosa","icosa"
"f22d2n6","f22d2n6"
"docosadienoic","docosadienoic"
"docosa","docosa"
"f18d3n3","f18d3n3"
"linolenic","linolenic"
"3n3","3n3"
"ala","ala"
"lna","lna"
"octadecatrienoic","octadecatrienoic"
"trienoic","trienoic"
"3","3"
"f20d3n6","f20d3n6"
"eicosatrienoic","eicosatrienoic"
"3n6","3n6"
"f20d4n6","f20d4n6"
"arachidonic","arachidonic"
"4n6","4n6"
"aa","aa"
"ara","ara"
"eicosatetraenoic","eicosatetraenoic"
"tetraenoic","tetraenoic"
"arachidonate","arachidonate"
"f20d5n3","f20d5n3"
"eicosapentaenoic","eicosapentaenoic"
"5n3","5n3"
"epa","epa"
"icosapentaenoic","icosapentaenoic"
"timnodonic","timnodonic"
"pentaenoic","pentaenoic"
"f22d5n3","f22d5n3"
"docosapentaenoic","docosapentaenoic"
"dpa","dpa"
"f22d6n3","f22d6n3"
"docosahexaenoic","docosahexaenoic"
"6n3","6n3"
"dha","dha"
"hexaenoic","hexaenoic"
"cervonic","cervonic"
"doconexent","doconexent"
"fasat","fasat"
"acids","acids"
"tsfa","tsfa"
"fams","fams"
"tmufa","tmufa"
"fapu","fapu"
"tpufa","tpufa"
"cholc","cholc"
"cholesterol","cholesterol"
"cholesterin","cholesterin"
"cholesteryl","cholesteryl"
"alcohol","alcohol"
"zoosterol","zoosterol"
"animal","animal"
"sterol","sterol"
"his","his"
"histidine","histidine"
"amino","amino"
"ile","ile"
"isoleucine","isoleucine"
"i","i"
"leu","leu"
"leucine","leucine"
"l","l"
"lys","lys"
"lysine","lysine"
"met","met"
"methionine","methionine"
"cys","cys"
"cysteine","cysteine"
"phe","phe"
"phenylalanine","phenylalanine"
"f","f"
"thr","thr"
"threonine","threonine"
"t","t"
"trp","trp"
"tryptophan","tryptophan"
"w","w"
"val","val"
"valine","valine"
"v","v"
"alanine","alanine"
"arg","arg"
"arginine","arginine"
"asp","asp"
"aspartic","aspartic"
"glu","glu"
"gly","gly"
"glycine","glycine"
"pro","pro"
"proline","proline"
"ser","ser"
"serine","serine"
"s","s"
"tyr","tyr"
"tyrosine","tyrosine"
"y","y"
"oxalt","oxalt"
"oxalate","oxalate"
"ox","ox"
"ethanedioate","ethanedioate"
"oxalic","oxalic"
"organic","organic"
"oxals","oxals"
"oxali","oxali"
"caconac","caconac"
"cis","cis"
"aconitic","aconitic"
"achilleic","achilleic"
"equisetic","equisetic"
"citridinic","citridinic"
"pyrocitric","pyrocitric"
"citac","citac"
"citric","citric"
"hydroxypropane","hydroxypropane"
"tricarboxylic","tricarboxylic"
"fumac","fumac"
"fumaric","fumaric"
"butenedioic","butenedioic"
"but","but"
"enedioic","enedioic"
"ethylenedicarboxylic","ethylenedicarboxylic"
"allomaleic","allomaleic"
"boletic","boletic"
"donitic","donitic"
"lichenic","lichenic"
"malac","malac"
"malic","malic"
"hydroxybutanedioic","hydroxybutanedioic"
"hydroxysuccinic","hydroxysuccinic"
"quinac","quinac"
"quinic","quinic"
"tetrahydroxycyclohexanecarboxylic","tetrahydroxycyclohexanecarboxylic"
"tetrahydroxy","tetrahydroxy"
"cyclohexanecarboxylic","cyclohexanecarboxylic"
"cyclitol","cyclitol"
"cyclic","cyclic"
"polyol","polyol"
"sucac","sucac"
"succinic","succinic"
"butandioic","butandioic"
"dicarboxylic","dicarboxylic"
"tarac","tarac"
"tartaric","tartaric"
"dihydroxybutanedioic","dihydroxybutanedioic"
"dihydroxysuccinic","dihydroxysuccinic"
"threaric","threaric"
"racemic","racemic"
"uvic","uvic"
"paratartaric","paratartaric"
"dhbenzac34","dhbenzac34"
"3,4","3,4"
"dihydroxy","dihydroxy"
"benzoic","benzoic"
"dihydroxybenzoic","dihydroxybenzoic"
"polyphenol","polyphenol"
"phenolic","phenolic"
"phyto","phyto"
"hbenzal3","hbenzal3"
"hydroxy","hydroxy"
"benzaldehyde","benzaldehyde"
"hydroxybenzaldehyde","hydroxybenzaldehyde"
"aldehyde","aldehyde"
"pcathac","pcathac"
"protocatechuic","protocatechuic"
"pca","pca"
"protocatechuate","protocatechuate"
"light","light"
"vanlac","vanlac"
"vanillic","vanillic"
"vanillin","vanillin"
