"SELECT","display","disclose","discover","reveal","inform","search","found","find","shown","show","list","given","give","told","tell","select"
"FROM","from"
"AS","as"
"WHERE","which","with","have","has","when","where"
"ORDER BY","arrange","sort","order"
"GROUP BY","group","classify"
"DISTINCT","on unique","distinct on","unique","distinct"
"ASC","least","ascend","worst","lowest","poorest"
"DESC","most","descend","best","highest","richest"
"LIMIT","limit","top"
"DESC LIMIT","bottom"
"FALSE","false"
"TRUE","true"
"NULL","null"
"PER","per"
"TYPE","type"
