"uppumavu","uppumavu"
"rava","rava"
"a023","a023"
"vermicelli","vermicelli"
"sewai","sewai"
"semai","semai"
"ni","ni"
"sev","sev"
"siwain","siwain"
"shevige","shevige"
"sewian","sewian"
"semiya","semiya"
"simai","simai"
"sevian","sevian"
"a024","a024"
"roasted","roasted"
"shekeli","shekeli"
"bhooni","bhooni"
"b001","b001"
"bengal","bengal"
"gram","gram"
"dal","dal"
"cicer","cicer"
"arietinum","arietinum"
"boot","boot"
"dail","dail"
"cholar","cholar"
"chana","chana"
"daad","daad"
"chan","chan"
"ki","ki"
"kadale","kadale"
"bele","bele"
"chanu","chanu"
"dai","dai"
"shana","shana"
"kadala","kadala"
"parippu","parippu"
"tangkhai","tangkhai"
"harabara","harabara"
"channa","channa"
"dali","dali"
"buta","buta"
"sholedi","sholedi"
"kadalaiparuppu","kadalaiparuppu"
"sanaga","sanaga"
"papu","papu"
"chane","chane"
"grain","grain"
"legumes","legumes"
"b002","b002"
"chola","chola"
"kulai","kulai"
"harbara","harbara"
"mapum","mapum"
"kabuli","kabuli"
"shole","shole"
"chanak","chanak"
"kondaikadalai","kondaikadalai"
"sanagalu","sanagalu"
"b003","b003"
"phaseolus","phaseolus"
"mungo","mungo"
"matir","matir"
"phola","phola"
"biulir","biulir"
"aadad","aadad"
"urd","urd"
"uddhina","uddhina"
"kaha","kaha"
"uzhunnu","uzhunnu"
"sagol","sagol"
"hawai","hawai"
"uddachi","uddachi"
"maas","maas"
"birri","birri"
"maa","maa"
"daal","daal"
"maassa","maassa"
"ulutham","ulutham"
"paruppu","paruppu"
"minapapappu","minapapappu"
"mash","mash"
"b004","b004"
"gota","gota"
"mati","mati"
"mah","mah"
"mashkolail","mashkolail"
"adad","adad"
"chhilke","chhilke"
"wali","wali"
"urad","urad"
"iong","iong"
"uzhunu","uzhunu"
"sabut","sabut"
"ulundhu","ulundhu"
"minumulu","minumulu"
"b005","b005"
"cowpea","cowpea"
"vigna","vigna"
"catjang","catjang"
"lesera","lesera"
"mahor","mahor"
"barbati","barbati"
"chorap","chorap"
"lobia","lobia"
"alasande","alasande"
"rymbai","rymbai"
"vella","vella"
"payaru","payaru"
"pong","pong"
"chavli","chavli"
"bodi","bodi"
"jhudunga","jhudunga"
"raajamaassa","raajamaassa"
"karamani","karamani"
"bobbarlu","bobbarlu"
"baunir","baunir"
"b006","b006"
"white","white"
"b007","b007"
"field","field"
"bean","bean"
"vulgaris","vulgaris"
"urohi","urohi"
"shim","shim"
"valpapdi","valpapdi"
"sem","sem"
"avare","avare"
"moang","moang"
"ri","ri"
"avar","avar"
"papta","papta"
"baragudi","baragudi"
"mochai","mochai"
"chikkudu","chikkudu"
"b008","b008"
"b009","b009"
"b010","b010"
"green","green"
"aureus","aureus"
"dhua","dhua"
"mogu","mogu"
"mung","mung"
"mug","mug"
"hesara","hesara"
"muang","muang"
"u","u"
"cheru","cheru"
"payar","payar"
"moong","moong"
"khoste","khoste"
"muga","muga"
"mungi","mungi"
"di","di"
"payatham","payatham"
"pesara","pesara"
"pappu","pappu"
"b011","b011"
"moog","moog"
"hesare","hesare"
"kalu","kalu"
"jyrngam","jyrngam"
"pararu","pararu"
"mun","mun"
"mudra","mudra"
"pasipayir","pasipayir"
"pesalu","pesalu"
"b012","b012"
"horse","horse"
"dolicus","dolicus"
"biflorus","biflorus"
"kulotto","kulotto"
"kalai","kalai"
"kuleeth","kuleeth"
"kulthi","kulthi"
"hurule","hurule"
"kurath","kurath"
"muthira","muthira"
"bakulla","bakulla"
"kolatha","kolatha"
"kulattha","kulattha"
"kollu","kollu"
"ulavalu","ulavalu"
"b013","b013"
"lentil","lentil"
"lens","lens"
"culinaris","culinaris"
"masur","masur"
"mosur","mosur"
"masoor","masoor"
"laki","laki"
"vattu","vattu"
"masuri","masuri"
"lank","lank"
"masura","masura"
"dhooli","dhooli"
"masari","masari"
"triputta","triputta"
"khesari","khesari"
"lanka","lanka"
"b014","b014"
"musuroo","musuroo"
"saboot","saboot"
"mysore","mysore"
"misur","misur"
"b015","b015"
"yellowish","yellowish"
"rakhoda","rakhoda"
"b016","b016"
"moth","moth"
