"compositions_tsvector","compositions_tsvector","compositions","components","nutrients","foods"
"columns_tsvector","columns_tsvector","columns"
"abbreviations_tsvector","abbreviations_tsvector","abbreviations","acronyms"
"compositingcentres_tsvector","compositingcentres_tsvector","compositingcentres","compositing centres","compositing areas"
"frequencydistribution_tsvector","frequencydistribution_tsvector","frequencydistribution","frequency","distribution"
"groups_tsvector","groups_tsvector","groups","food groups"
"methods_tsvector","methods_tsvector","methods","analytical methods","analysis","measurement methods","measurement"
"regions_tsvector","regions_tsvector","regions"
"samplingunits_tsvector","samplingunits_tsvector","samplingunits","sampling units","primary sampling units"
"vitamin a","vitamin a"
"vitamin c","vitamin c"
