"abs","absolute value","absolute","abs"
"cbrt","cube root","cbrt"
"ceil","integer round up","round up","ceiling","ceil"
"degrees","degrees","deg"
"div","integer quotient","division integer","division"
"exp","exponential","exponent","exp"
"floor","integer round down","round down","floor"
"ln","base e logarithm","base e log","logarithm natural","log natural","e logarithm","e log","loge","ln"
"log","base logarithm","base log","logarithm","log10","log"
"mod","division remainder","remainder","modulus","modulo","mod"
"pi","constant pi","pi","π"
"power","power raised","power","pow"
"radians","radians","rad"
"round","integer round","round","integer nearest round"
"sign","sign","sgn"
"sqrt","root square","root","sqrt"
"trunc","toward truncate zero","truncate zero","truncate","trunc"
"random","number random","num random","number rand","num rand","random","rand"
"setseed","random seed set","rand seed set","seed set","random seed","rand seed","setseed"
"acos","cosine inverse","cos inverse","cosine inv","cos inv","acos"
"asin","inverse sine","inverse sin","inv sine","inv sin","asin"
"atan","inverse tangent","inverse tan","inv tangent","inv tan","atan"
"atan2","inverse tangent y / x","inverse tangent yx","inverse tangent 2","inverse tan y / x","inverse tan yx","inverse tan 2","inv tangent y / x","inv tangent yx","inv tangent 2","inv tan y / x","inv tan yx","inv tan 2","atan2"
"cos","cos","cosine"
"cot","cotang","cot"
"sin","sine","sin"
"tan","tangent","tan"
"bit_length","bit number string","bit length string","bit number","bit length","bit num","bit len","bit_length","bit_len"
"char_length","character number string","character length string","character number","character length","char number","char length","character num","character len","char num","char len","character_length","char_length","character_len","char_len"
"lower","case convert low string","case convert low","case low string","case low","tolowercase","lowercase","tolcase","lcase","tolower","low"
"strpos","location string","location","index string","index","position string","position","indexof","strpos"
"substr","extract substring","substring","substr"
"btrim","and lead space trail trim","and lead trail trim","lead trail trim","and left right space trim","and left right trim","left right trim","both end trim","both trim","trim","btrim"
"ltrim","lead space trim","lead trim","left space trim","left trim","ltrim"
"rtrim","space trail trim","trail trim","right space trim","right trim","rtrim"
"upper","case convert string upper","case convert upper","case string upper","case upper","touppercase","uppercase","toucase","ucase","toupper","upper"
"ascii","ascii code","ascii","asc"
"chr","charact","char","chr"
"initcap","capital character init","capital char init","cap char init","cap init","case title","totitlecase","titlecase","totcase","tcase","initcap"
"left","left substring","left"
"length","length","len","size"
"lpad","left pad space","left pad","lpad"
"md5","hash md5","md5"
"regexp_replace","express regular replace","regexp replace","regexp_replace"
"repeat","repeat string","repeat"
"replace","replace substring","replace string","replace"
"reverse","reverse string","reverse"
"right","right substring","right"
"rpad","pad right space","pad right","rpad"
"split_part","part split string","part split","split string","split","split_part"
"to_char","string to","character to","tostring","to_char"
"to_date","datw to","to_date"
"to_number","number to","integ to","num to","int to","to_number"
"to_timestamp","timestamp to","time to","to_timestamp"
"coalesce","coalescw"
"nullif","if null","nullif"
"max","maximum","max"
"greatest","greatest","biggest","largest"
"min","minimum","min"
"lowest","smallest","lowest","least"
"avg","mean","average","avg"
"bit_and","and bitwise","and bit","every","bit_and"
"bit_or","bitwise or","bit or","bit_or"
"bool_and","and bool","and","bool_and"
"bool_or","bool or","or","bool_or"
"count","count row","count"
"sum","sum"
